gvkey,roa,roe,ebit_margin,conm,roa_trend,roa_volatility,roe_trend,revt_cagr,cluster,cluster_name
100746,2.2989639861864823,14.728682170542637,1.0382318866411193,CECONOMY AG,-0.3118494264262327,1.2198156751662448,0.5906903639120662,-9.812161164028998,3,Mid
101768,1.3523843123419768,-2.1784482066918076,0.745373821175098,MCKESSON EUROPE AG,-0.6210729632826416,1.660952302316648,0.1484828140766207,-11.817815281051235,3,Mid
324977,1.2951601908657124,-7.194244604316546,0.48986432047439493,METRO AG,-0.3112482730414712,1.2178975574419497,-1.422246879880825,-2.2529324272819395,3,Mid
101148,1.1171562959243373,21.85386781166759,1.6510357270514544,LECHWERKE AG,-0.5832397455941732,2.1995930084700666,-0.43642453454299757,-5.704406556061259,3,Mid
271763,0.23684481515806816,-3.8595726122982987,0.36129437637448947,LANXESS AG,-0.5666661696352858,2.371008630691028,-1.0586689888421472,-2.2661280105879755,3,Mid
315541,-0.03268346466552724,0.0,-12.805221109485764,OSRAM LICHT AG,-1.0006406952328004,4.735040736485526,-1.37300640483454,-47.062739090662085,3,Mid
100736,-0.4661356711391458,-1.075286125911498,-1.1935068845637953,K&S AG,-0.0731814294916662,5.753557715786718,-0.3968782796131675,-0.45017593280665125,3,Mid
103176,-0.4738690212388777,-15.715329228842743,-0.3966781769926657,THYSSENKRUPP AG,-0.5167523754261212,4.5347974411111105,-2.5063520221716793,-1.6309588910294104,3,Mid
221614,-0.5625879043600562,-10.44052348679598,-1.8013204594893715,DEUTSCHE BAHN AG,-0.38680008908863217,2.16407145753886,-2.25310111369618,-4.076408381482732,3,Mid
278310,-1.1883667087728502,-8.568437624544638,-0.6339230477762031,KLOCKNER & CO SE,0.23953398480837254,5.417946640684794,1.2600084801584597,0.19547990490367262,3,Mid
324859,-2.129561044732859,-34.03927014620221,-2.151333501427444,DELIVERY HERO SE,0.8593399137390071,5.409794116232072,-6.575013832462224,63.87759373234276,3,Mid
100042,-2.283029297954671,-7.278854254422915,-3.8106661745709545,MAN SE,-0.4479385377431797,1.5199789832710475,-0.16028040694243867,-4.499330360890596,3,Mid
102365,-2.656919940957334,-21.216707021791766,-2.966101694915254,KOENIG & BAUER AG,-0.43667841443837235,3.3943524551366657,-2.6122885609215176,1.4816126053164735,3,Mid
101286,-3.6151839001215413,160.04571948660825,-1.889184022422906,LEONI AG,-1.609428521142559,6.270347201124659,2.825916086743666,2.738246026454627,3,Mid
232623,-4.126479344858201,-20.58507650717829,-9.902417540500421,EVOTEC SE,-0.39850016268828614,3.8038613017311773,-2.10914761907579,24.44105128233558,3,Mid
100010,-4.250672662268254,437.7415687760516,-2.177823309743788,BAYWA AG,-0.11533689911326939,1.9405293236001875,19.327966136148117,3.369252419736979,3,Mid
322597,-6.171591284252228,-1.185025585779693,-8.919039809154615,INNOGY SE,-1.8923674878347554,4.03386891663271,-3.1941014281707623,-5.072983595302249,3,Mid
289333,-6.361948215252014,-21.276811080829034,-6.408631639628523,SMA SOLAR TECHNOLOGY AG,0.5545861986652604,7.489171318133768,2.0471705270884226,6.626789889001095,3,Mid
241840,-11.29224991464664,-33.54995938261576,-11.643052010912612,SCHULER AG,-3.182648742413301,6.3948078113945215,-8.577301653007174,-0.7755347828418246,3,Mid
